PN#,Part Number,Status,RFQ Count,Vendors
18,2117388-12,no_match,0,
19,183-1524-020,sent,4,"Ansett Aircraft Spares & Services(NE); AIRCRAFT INVENTORY MANAGEMENT & SERVICES(NS); AERO COMPONENTS & ELECTRONICS, LLC(NE); VISION AERONAUTICS(NS)"
20,DNN3551B,sent,1,SAYWELL INTERNATIONAL(NS)
21,966-3138-001,no_match,0,
22,98-0976,no_match,0,
23,2156-604A,sent,5,"CAPITAL AEROSPARES(OH); JACAERO Industries LLC(SV); Jet Midwest, Inc.(OH); Alaris Aerospace Systems LLC.(SV); AD Aircraft Support(SV)"
24,98-1122,sent,3,"TURBO RESOURCES INT'L(NS); Unical Aviation, Inc(NE); PRIME INDUSTRIES INC(NS)"
25,7743-00361-04,sent,2,Ansett Aircraft Spares & Services(NE); IPO(NE)
26,49-170-11,sent,10,"ITS(SV); AerFin Ltd (Gatwick)(SV); PRIME AIR EUROPE(SV); CAPITAL AEROSPARES(OH); JACAERO Industries LLC(SV); LIFT AEROSPACE(SV); Alaris Aerospace Systems LLC.(SV); EXECUTIVE JET SUPPORT, LTD(SV); Elliot Ward Aviation(SV); Avtrade Ltd(SV)"
27,2G916-1039,sent,4,AERONED BV(NE); Aerospace Support Associates Ltd.(NE); AEROTRON LTD(NE); Aero Technics FZCO(NE)
28,2G916-2501,no_stock,0,
29,42-767191,sent,1,SKYBUS LLC(NS)
30,814462-1,sent,4,"814462-1(NE); XGF ELECTRONICS CO.,LTD(NS); BEIJING CRONDA AVIATION TECHNOLOGY CORP., LTD(NE); AMERICAN AVIATION HARDWARE INC(NE)"
31,433-673-1004-4061,sent,2,GLOBAL AIRPARTS DIRECT(NE); INFINITY AIR INC(NE)
32,433-673-1004-4060,sent,3,B&G INSTRUMENTS.US(NS); SKY AIR SUPPLY LTD(NE); LYNX AEROTECH(NE)
33,433-673-1004-4062,sent,3,GLOBAL AIRPARTS DIRECT(NE); INFINITY AIR INC(NE); LYNX AEROTECH(NE)
34,TS30176,sent,9,"BROOKS & MALDINI CORPORATION(NE); TURBO RESOURCES INT'L(NS); AERONED BV(NE); Nordair USA, Inc.(NE); Ansett Aircraft Spares & Services(NS); Avsource International(NS); IZZI CUP D.O.O.(NE); AIRCRAFT INVENTORY MANAGEMENT & SERVICES(NS); AVIATOR SOLUTIONS LTD(NS)"
35,0248001981,no_stock,0,
36,IDT74FCT162646CTPV,sent,3,ABSTRACT ELECTRONICS(NS); IDT74FCT162646CTPV(NE); CHIP LEADER(NS)
37,RDX-7708CRW,no_match,0,
38,RDX-7708BRW,no_match,0,
39,5DV411474-10,sent,1,Hansair Logistics Inc.(NE)
40,H150AK26,sent,4,PDQ Airspares Ltd.(NE); Alpine Air Support GmbH.(NE); Royal Aviation LLC(NS); VISION AERONAUTICS(NS)
41,822-0990-002,sent,10,"AERO-ZONE(OH); AJW Group(SV); AOG Logistics(SV); CAPITAL AEROSPARES(OH); Jet Midwest, Inc.(SV); FIXED AND ROTOR AIRCRAFT SUPPORT(OH); Alaris Aerospace Systems LLC.(SV); SILVER HAWK AIR(OH); Wing & Rotor Logistics, Inc.(SV); zwahlen co(SV)"
42,822-0990-003,sent,9,"ITS(SV); AerFin Ltd (Gatwick)(SV); CAPITAL AEROSPARES(OH); SILVER HAWK AIR(OH); Killick Aerospace Limited(SV); Avsource International(SV); Sky Lease I, Inc.(SV); Unical Aviation, Inc(SV); Avtrade Ltd(SV)"
