PN#,Part Number,Status,RFQ Count,Vendors
1,363A5320P2,sent,1,"AVBAY TECHNOLOGY CO., LTD(NE)"
2,7304-01-02,sent,8,AJW Group(SV); AOG Logistics(SV); AJW Technique Inc.(SV); Touchdown Aviation(SV); AerFin Ltd (Gatwick)(SV); CAPITAL AEROSPARES(OH); Alaris Aerospace Systems LLC.(SV); Ansett Aircraft Spares & Services(SV)
3,066-50008-0406,sent,9,"AOG Logistics(OH); JMF Global, Inc.(OH); CAPITAL AEROSPARES(OH); TURBO RESOURCES INT'L(SV); SILVER HAWK AIR(OH); Aircraft Trading Inc.(SV); Unical Aviation, Inc(OH); Airline Spares America, Inc.(OH); Avtrade Ltd(SV)"
4,066-50008-0409,sent,9,"AERO-ZONE(SV); AJW Group(OH); Touchdown Aviation(SV); CAPITAL AEROSPARES(OH); SILVER HAWK AIR(OH); Killick Aerospace Limited(SV); Talon Air Partners LLC(SV); Avtrade Ltd(SV); Avion Systems, Inc.(SV)"
5,813270-4,sent,4,"813270-4(NE); GOLDEN SHIELD CORP(NE); AERO COMPONENTS & ELECTRONICS, LLC(NS); AMERICAN AVIATION HARDWARE INC(NE)"
6,5145-160,sent,1,Hansair Logistics Inc.(NE)
7,7V11SPF30X2B29,no_match,0,
8,362A5835P3,no_stock,0,
9,906-10090-003,no_stock,0,
10,104-5040-092,sent,5,AERONED BV(NE); Muirhead Aerospace Limited(NE); DSC TRADING(NS); NEW TECH SOURCING(NS); AMERICAN AVIATION HARDWARE INC(NE)
11,PTN1206K2000JB,no_stock,0,
12,MS90452-6833,sent,13,"MHD - Rockland, Inc.(NS); Hermes Technical Int'l, Inc.(NS); Tiger Enterprises & Trading Inc.(NE); IAG Materials, LLC.(NS); TURBO RESOURCES INT'L(NS); zwahlen co(NS); AERO CONTROLS INC.(NS); Preferred Airparts, LLC.(NS); NFF Avionics Services, Inc.(NE); AIRCRAFT INVENTORY MANAGEMENT & SERVICES(NS); Orbital Parts, Inc.(NS); FLIGHT SOURCE INC(NS); AVTEC USA(NS)"
13,800-004-955-018,no_stock,0,
14,3600-6970-01,no_stock,0,
15,3600-5755-01,no_stock,0,
16,233A7203-12,sent,2,"AERONED BV(NE); AVBAY TECHNOLOGY CO., LTD(NE)"
17,42-757-1,sent,8,"CAPITAL AEROSPARES(OH); Jet Midwest, Inc.(SV); British International Industries Ltd.(SV); QWEST AIR PARTS(OH); PRIME AIR(SV); zwahlen co(SV); AERO CONTROLS INC.(SV); J.B. AVICON BVBA(SV)"
18,42-76717,sent,1,AERONED BV(NE)
19,14320-153,sent,7,"AJW Technique Inc.(NE); AERONED BV(NE); Silver Wings Aerospace(NE); Atlas Aerospace Accessories LLC(NE); CANREP INC(NE); MEL AVIATION LTD(NS); BEIJING CRONDA AVIATION TECHNOLOGY CORP., LTD(NE)"
20,1095613-1,sent,10,"AERONED BV(NE); Velocity Aerospace - Burbank, Inc.(NS); zwahlen co(NS); AERO CONTROLS INC.(NS); VISION AERONAUTICS(NS); SKY AIRPARTS TRADING(NE); Aircraft Engine Lease Finance Inc.(NE); NEXT STEP COMMUNICATION INC(NE); AMERICAN AVIATION HARDWARE INC(NE); COMAT AEROSPACE CORP(NE)"
21,01003010,no_stock,0,
22,4197-20-02,sent,11,"Touchdown Aviation(SV); PRIME AIR EUROPE(SV); CAPITAL AEROSPARES(SV); JACAERO Industries LLC(SV); Alaris Aerospace Systems LLC.(SV); Leki Aviation A/S(OH); Level Aero(OH); General Airframe Support(OH); EXECUTIVE JET SUPPORT, LTD(SV); Universal Asset Management(OH); Avtrade Ltd(SV)"
23,835-5816-010,no_stock,0,
24,352-1869-010,sent,1,"AERO COMPONENTS & ELECTRONICS, LLC(NE)"
25,A1236627,sent,7,"Muirhead Aerospace Limited(NE); DUNCAN AVIATION(NE); AVOCET AEROSPACE INC(NE); INTERSKY INC(NE); Velocity Aerospace - Burbank, Inc.(NE); ICOMPPLUS ELECTRONICS(NE); BEIJING CRONDA AVIATION TECHNOLOGY CORP., LTD(NE)"
26,69002178-001,sent,2,AERONED BV(NE); VISION AERONAUTICS(NE)
27,17504-0001,sent,11,"HONEYWELL AEROSPACE TRADING(NE); TURBO RESOURCES INT'L(NS); AeroDirect, Inc.(NS); Unical Aviation, Inc(NS); Avsource International(NS); PACIFIC AIR INDUSTRIES(NS); Muirhead Aerospace Limited(NE); DSC TRADING(NS); AIRPARTSTOCK COMPANY(NS); VICTOR  AEROSYSTEMS(NE); VISION AERONAUTICS(NS)"
28,17473-0001,sent,11,"HONEYWELL AEROSPACE TRADING(NE); Unical Aviation, Inc(NS); Nordair USA, Inc.(NE); Avsource International(NS); TURBO RESOURCES INT'L(NS); SKYBUS LLC(NS); AVIONICS SPECIALIST INC(NS); AIRPARTSTOCK COMPANY(NS); VICTOR  AEROSYSTEMS(NE); Ark Aviation, Inc.(NS); HIGH TECH AVIONICS & ACCESSORIES(NS)"
29,1310463-001,no_stock,0,
30,442-1840-001,no_stock,0,
31,600-6137-001,sent,1,PDQ Airspares Ltd.(NE)
32,664700500A4D,sent,11,"Fly Dynamics(SV); Touchdown Aviation(SV); ITS(SV); AELS - Aircraft End-of-Life Solutions(SV); EMC AEROSPACE, INC.(OH); PRIME AIR EUROPE(SV); CAPITAL AEROSPARES(OH); JACAERO Industries LLC(SV); LIFT AEROSPACE(SV); GA Telesis LLC(SV); Killick Aerospace Limited(SV)"
33,313DL74HC4514MN,sent,5,Hansair Logistics Inc.(NE); AIRCRAFT INVENTORY MANAGEMENT & SERVICES(NS); JACAERO Industries LLC(NS); DSC TRADING(NS); NEW TECH SOURCING(NS)
34,313RVAP117MH,sent,8,"PDQ Airspares Ltd.(NE); Tristar Solution Technology, Inc.(NS); GMDC, INC(NS); AIRCRAFT INVENTORY MANAGEMENT & SERVICES(NS); YUNG DECOR PTE LTD(NE); AVMAX AVIATION SERVICES(NS); COMMUTER SPARES INTL(NE); GMF AEROASIA(NS)"
35,23007,sent,4,"Avsource International(NS); QUALITY AVIATION INC.(NS); Total Aircraft Support, Inc.(NS); AIRCRAFT INVENTORY MANAGEMENT & SERVICES(NS)"
36,304313-1,sent,6,"CAPITAL AEROSPARES(OH); Sentinel Aerospace, LLC(SV); TURBO RESOURCES INT'L(SV); zwahlen co(OH); AERO CONTROLS INC.(OH); IZZI CUP D.O.O.(OH)"
37,86625317,no_stock,0,
38,5909780,sent,8,AJW Group(SV); HONEYWELL AEROSPACE TRADING(SV); ITS(SV); AerFin Ltd (Gatwick)(SV); PRIME AIR EUROPE(OH); Alaris Aerospace Systems LLC.(SV); General MRO Aerospace(SV); Killick Aerospace Limited(OH)
39,685-2307-004,sent,2,SKYBUS LLC(NS); SAYWELL INTERNATIONAL(NS)
40,685-2308-004,sent,1,SKYBUS LLC(NS)
41,2982560705,no_match,0,
42,9615325060,sent,6,"Universal Asset Management(SV); CAPITAL AEROSPARES(OH); BROOKS & MALDINI CORPORATION(SV); Jet Midwest, Inc.(SV); Alaris Aerospace Systems LLC.(SV); Ansett Aircraft Spares & Services(SV)"
