PN#,Part Number,Status,RFQ Count,Vendors
44,00871-2125-0250,sent,1,NELKUHR LOGISTICS(FN)
45,40-647-577-03,sent,3,"RIM ENTERPRISES LLC(NS); ULTIMATE AVIATION SOLUTIONS(NE); RIM Enterprises, LLC(NS)"
46,40-657-5102,no_stock,0,
47,40-656-5043,sent,6,PACIFIC AIR INDUSTRIES(NS); SKYNET INT'L INC(NE); Planestocks LLC(NS); PNEU-TECH AEROSPACE(NE); BRISAC AERO(NS); Aero C&E Limited(NE)
48,7517832-4,sent,1,Planestocks LLC(NS)
49,438006002,no_stock,0,
50,CS203-04,sent,1,GMF AEROASIA(NS)
51,8-99511-23,no_stock,0,
52,8-995-02,sent,3,AerFin Ltd (Gatwick)(SV); Avtrade Ltd(SV); IKEZ AVIATION & CONSULTING LLC(SV)
53,2233000-816-1,no_match,0,
