序号,件号,条件,数量
1,1308781-109,new,1
2,796880-5-006,sv,1
3,0000612409,new,6
4,796880-60-003,sv,1
5,711002-5,sv,1
6,-999-0931,new,1
7,421D18A,new,50
8,E14060BD,new,2
9,9007371-1,new,3
10,424509-64,new,1
11,473939-64,new,1
12,831-6655-014,new,1
13,14403-125,sv,1
14,A2004116,new,5
15,622-4593-507,sv,1
16,131-1073-02,new,2
17,1902802-400,new,1
18,4067984-400,new,1
19,7012044-212,new,1
20,7018314-107,new,1
21,850-1058-020,new,5
22,285T0384-10,new,1
23,285T0385-5,sv,1
24,835-0045-020,new,8
25,ASNE0046-0114N,new,2
26,D67007,new,2
27,Y580-02133-01-3,new,1
28,26T11LN4BH2K100,new,1
29,849-0006-220,new,8
30,844-0011-010,new,8
31,353-8133-060,new,10
32,353-8135-020,new,10
33,5910391,new,5
