序号,件号,条件,数量
18,2117388-12,sv,1
19,183-1524-020,new,10
20,DNN3551B,new,1
21,966-3138-001,new,10
22,98-0976,new,1
23,2156-604A,sv,1
24,98-1122,new,2
25,7743-00361-04,new,1
26,49-170-11,sv,1
27,2G916-1039,new,1
28,2G916-2501,new,1
29,42-767191,new,1
30,814462-1,new,3
31,433-673-1004-4061,new,1
32,433-673-1004-4060,new,1
33,433-673-1004-4062,new,1
34,TS30176,new,5
35,0248001981,new,20
36,IDT74FCT162646CTPV,new,20
37,RDX-7708CRW,sv,1
38,RDX-7708BRW,sv,1
39,5DV411474-10,new,5
40,H150AK26,new,1
41,822-0990-002,sv,1
42,822-0990-003,sv,1
44,00871-2125-0250,new,1
45,40-647-577-03,new,1
46,40-657-5102,new,1
47,40-656-5043,new,1
48,7517832-4,new,1
49,438006002,new,1
50,CS203-04,new,1
51,8-99511-23,new,1
52,8-995-02,sv,1
53,2233000-816-1,new,1
