序号,件号,条件,数量
1,PU90-21000-1,new,3
2,30090331-0502,new,1
3,01554028-0002,new,1
4,12105-0005,new,1
5,01716061-0001,new,1
6,00712238-0003,new,5
7,10610329-1056,new,5
8,69001375-001,new,5
9,1110-127600,new,1
10,432009137,new,5
11,00712249-0001,new,10
12,00712248-0001,new,20
13,318-630-1001-014,new,1
14,10-61803-20,new,1
15,900-12471-694,new,20
16,900-12471-345,new,20
17,0108-0128,new,1
18,30090401-0501,new,1
19,066-50013-0101,sv,1
20,2LA455163-02,new,3
21,8KA618502-00,new,2
22,475173-1,new,2
23,S51,new,1
24,651-2257-001,new,1
25,05N62123,new,3
26,00861-1267-0001,new,3
27,A1217563,new,30
28,380-0331-001,new,2
29,5184320A52,new,1
30,518432OA35,new,1
31,5184621KI3,new,1
32,5105536H01,new,1
33,5183629M39,new,1
34,4882256C58,new,1
35,2714278-3,new,1
36,67620903-1,new,1
37,2710441-1,new,1
38,67620964-2,new,8
39,2710503-3,new,1
40,67620901-1,new,1
41,2710504-4,new,1
42,MS35206-215,new,2
43,NAS720-6-6,new,8
44,67620906-1,new,1
45,2704506-4,sv,1
46,3530-0035-29,new,1
47,4051095-421,new,1
48,4059712-425,new,3
49,4041414-47,new,4
50,4031884-1,new,1
51,4050126-402,new,3
52,834-2027-030,new,10
53,195D226X0020Z2,new,10
54,80-48411-20,new,5
55,70-48407,new,10
56,E13700BB,new,1
